Date,Device Category,Sessions
2014-01-01,desktop,1032805
2014-01-02,desktop,2359710
2014-01-03,desktop,2033439
2014-01-04,desktop,975623
2014-01-05,desktop,1237064
2014-01-06,desktop,3203372
2014-01-07,desktop,4650480
2014-01-08,desktop,3535273
2014-01-09,desktop,3824799
2014-01-10,desktop,2364078
2014-01-11,desktop,1057963
2014-01-12,desktop,1098235
2014-01-13,desktop,3051560
2014-01-14,desktop,2954661
2014-01-15,desktop,2819957
2014-01-16,desktop,2470524
2014-01-17,desktop,2240179
2014-01-18,desktop,1100557
2014-01-19,desktop,1192535
2014-01-20,desktop,1742473
2014-01-21,desktop,2598263
2014-01-22,desktop,2636234
2014-01-23,desktop,2356111
2014-01-24,desktop,2362585
2014-01-25,desktop,1022012
2014-01-26,desktop,1158117
2014-01-27,desktop,2858641
2014-01-28,desktop,2641544
2014-01-29,desktop,2556194
2014-01-30,desktop,2604275
2014-01-31,desktop,2224438
2014-02-01,desktop,1056329
2014-02-02,desktop,968428
2014-02-03,desktop,2694591
2014-02-04,desktop,3229939
2014-02-05,desktop,2896452
2014-02-06,desktop,2862721
2014-02-07,desktop,2293868
2014-02-08,desktop,962112
2014-02-09,desktop,1265759
2014-02-10,desktop,3035032
2014-02-11,desktop,3262554
2014-02-12,desktop,2676452
2014-02-13,desktop,2449433
2014-02-14,desktop,1887340
2014-02-15,desktop,1028370
2014-02-16,desktop,1140092
2014-02-17,desktop,1891451
2014-02-18,desktop,3077033
2014-02-19,desktop,2923804
2014-02-20,desktop,2891152
2014-02-21,desktop,2348398
2014-02-22,desktop,1004463
2014-02-23,desktop,1048829
2014-02-24,desktop,3124322
2014-02-25,desktop,2992708
2014-02-26,desktop,3192114
2014-02-27,desktop,2860645
2014-02-28,desktop,2799947
2014-03-01,desktop,1151232
2014-03-02,desktop,1073609
2014-03-03,desktop,2933382
2014-03-04,desktop,3077555
2014-03-05,desktop,2648278
2014-03-06,desktop,2540981
2014-03-07,desktop,2223741
2014-03-08,desktop,992096
2014-03-09,desktop,1100573
2014-03-10,desktop,2695740
2014-03-11,desktop,2515936
2014-03-12,desktop,2334046
2014-03-13,desktop,2491104
